palavra,erro_gramatica,erro_truncamento,erro_espelhamento,erro_acentuacao,correta
conseguiu,0,0,0,0,1
conseigiu,1,0,0,0,0
conseguiu,0,0,0,0,1
concegiu,1,0,0,0,0
conceguiu,1,0,0,0,0
consegui,1,1,0,0,0
consegi,1,1,0,0,0

ninguém,0,0,0,0,1
ninguem,1,0,0,1,0
nigem,1,0,0,1,0
niguem,1,0,0,1,0
niguém,1,0,0,0,0
ningen,1,0,0,1,0

assalto,0,0,0,0,1
assauto,1,0,0,0,0
asauto,1,0,0,0,0
asalto,1,0,0,0,0
assautu,1,0,0,0,0
asautu,1,0,0,0,0

alguém,0,0,0,0,1
alguem,1,0,0,1,0
alquem,1,0,0,1,0
agluém,1,0,0,0,0
algem,1,0,0,1,0
algém,1,0,0,0,0
auguem,1,0,0,1,0
auguém,1,0,0,0,0

exame,0,0,0,0,1
ezame,1,0,0,0,0
exeme,1,0,0,0,0

embaixo,0,0,0,0,1
embaixo,0,0,1,0,1
embaio,1,0,0,0,0
embaixu,1,0,1,0,0
enbaixu,1,0,0,0,0
embaixio,1,0,0,0,0
enbaixo,1,0,1,0,0
enbeixo,1,0,0,0,0
embaix,1,1,0,0,0

fez,0,0,0,0,1
fes,1,0,0,0,0
fe,1,1,0,0,0

também,0,0,0,0,1
também,0,0,1,0,1
tambem,0,0,1,1,1
tamém,1,0,0,0,0
tanbem,1,0,0,1,0
temém,1,0,1,0,0
temem,1,0,1,1,0

faz,0,0,0,0,1
fas,1,0,0,0,0
fás,1,0,0,1,0

guerra,0,0,0,0,1
guera,1,0,0,0,0
guarra,1,0,0,0,0

exemplo,0,0,0,0,1
ezemplo,1,0,0,0,0
exenplo,1,0,0,0,0

caiu,0,0,0,0,1
ciau,1,0,0,0,0
cai,1,1,0,0,0

enxergar,0,0,0,0,1
enchergar,1,0,0,0,0
enxerg,1,1,0,0,0

almoço,0,0,0,0,1
aumoco,1,0,0,0,0
aumoço,1,0,0,0,0
almoco,1,0,0,0,0

vez,0,0,0,0,1
ves,1,0,0,0,0

relógio,0,0,0,1
reógio,1,0,0,0,0
relogio,1,0,0,1,0
relógiu,1,0,0,0,0
relogiu,1,0,0,0,0

jeito,0,0,0,0,1
geito,1,0,0,0,0
jeitto,1,0,0,0,0

disse,0,0,0,0,1
dise,1,0,0,0,0

árvore,0,0,0,0,1
ávore,1,0,0,0,0
arvore,1,0,0,1,0
arvre,1,0,0,1,0
arvure,1,0,0,1,0
árvure,1,0,0,0,0
arvere,1,0,0,1,0
árvere,1,0,0,0,0

borracha,0,0,0,0,1
borraca,1,0,0,0,0
boracha,1,0,0,0,0
borraca,1,0,0,0,0

pegue,0,0,0,0,1
peg,1,1,0,0,0

saudade,0,0,0,0,1
saudede,1,0,0,0,0

assim,0,0,0,0,1
asim,1,0,0,0,0
assím,1,0,0,1,0

amanhã,0,0,0,0,1
amanha,1,0,0,1,0
aman,1,1,0,0,0

correr,0,0,0,0,1
corer,1,0,0,0,0

brincar,0,0,0,0,1
brinca,1,1,0,0,0
bringar,1,0,0,0,0

homem,0,0,0,0,1
omem,1,0,0,0,0
home,1,1,0,0,0

gente,0,0,0,0,1
jenti,1,0,0,0,0
genti,1,0,0,0,0

viajar,0,0,0,0,1
viaja,1,1,0,0,0
viajer,1,0,0,0,0

certo,0,0,0,0,1
sero,1,0,0,0,0

encontrou,0,0,0,0,1
encontou,1,0,0,0,0
encontro,1,1,0,0,0

quente,0,0,0,0,1
quenti,1,0,0,0,0

cabeça,0,0,0,0,1
cabessa,1,0,0,0,0
cabecca,1,0,0,0,0

professora,0,0,0,0,1
professo,1,1,0,0,0
professoura,1,0,0,0,0

futebol,0,0,0,0,1
futebom,1,0,0,0,0
futibol,1,0,0,0,0

feliz,0,0,0,0,1
felez,1,0,0,0,0
felis,1,0,0,0,0

ajuda,0,0,0,0,1
aujda,1,0,0,0,0

fazer,0,0,0,0,1
faser,1,0,0,0,0
facer,1,0,0,0,0

tenho,0,0,0,0,1
teho,1,0,0,0,0

tempo,0,0,0,0,1
tempa,1,0,0,0,0
tem,1,1,0,0,0

tesoura,0,0,0,0,1
tisoura,1,0,0,0,0
tesora,1,0,0,0,0
tisora,1,0,0,0,0

muito,0,0,0,0,1
muitu,1,0,0,0,0
muto,1,0,0,0,0
mutio,1,0,0,0,0

quando,0,0,0,0,1
cuendo,1,0,0,0,0
quado,1,0,0,0,0

cachorro,0,0,0,0,1
gaxorro,1,0,0,0,0
caxorro,1,0,0,0,0

então,0,0,0,0,1
entao,1,0,0,1,0
emtão,1,0,0,0,0

presente,0,0,0,0,1
peresente,1,0,0,0,0
prezente,1,0,0,0,0

bruxa,0,0,0,0,1
brucha,1,0,0,0,0

animal,0,0,0,0,1
animau,1,0,0,0,0
aninal,1,0,0,0,0
anemal,1,0,0,0,0

girafa,0,0,0,0,1
jirafa,1,0,0,0,0
grafa,1,0,0,0,0

carro,0,0,0,0,1
caro,1,0,0,0,0
car,1,1,0,0,0

galinha,0,0,0,0,1
galin,1,0,0,0,0
galinga,1,0,0,0,0

menino,0,0,0,0,1
meni,1,1,0,0,0
men,1,1,0,0,0

casa,0,0,0,0,1
cassa,1,0,0,0,0
cas,1,1,0,0,0

escola,0,0,0,0,1
escol,1,1,0,0,0
esola,1,0,0,0,0
ecol,1,1,0,0,0
